[SW중심대학] 5기 글로벌 SW인재트랙 - 2차 면접 공지,20.06.04,120,
[SW중심대학] 제2회 Bottom Up 프로젝트 경진대회 안내(수정),20.06.02,478,
[SW중심대학] 학석사연계 학부생 연구실 인턴 활동보고서 제출 안내,20.05.29,164,
[SW중심대학] 2020년 5월 튜터 복무활동보고서 제출 안내(양식변경  첨부파일 필수 확인),20.05.28,247,
[SW중심대학] 2020년 5월 TA 복무활동보고서 제출 안내(이메일 제출  제출기간 : 6월 5일까지),20.05.28,121,
[SW중심대학] 클라우드 및 도커 특강 안내(온라인)-마감완료,20.05.22,312,
[SW중심대학] 5기 글로벌 SW인재트랙 1차 합격자 공지,20.05.21,436,
[SW중심대학] 종합설계 산학협력 프로젝트-SW등록 지원,20.05.18,218,
[장학] _긴급_ 코로나19 관련 장학금 지원 대상자 수요 조사 (기한: 2020.5.15.(금) 오전 11:00까지),20.05.14,148,
[SW중심대학] ZOOM을 이용한 온라인특강 및 1:1 실습멘토링 설문조사 안내(~5/15),20.05.11,229,
[SW중심대학] 5기 글로벌 SW인재트랙 선발 공지,20.05.08,757,
[SW중심대학] 2020년 4월 튜터 복무활동보고서 제출 안내(이메일 제출  제출기한 : 5월 13일까지),20.05.06,313,
[SW중심대학] 2020년 4월 TA 복무활동보고서 제출 안내(이메일 제출  제출기간 : 5월 8일까지),20.04.29,237,
[SW중심대학] 학석사연계 학부생 연구실 인턴 활동보고서 제출 안내,20.04.29,270,
[SW중심대학] 2020학년도 SW사업 학술동아리 지원 및 계획서 제출 안내 (2020.5.8.(금) 정오까지),20.04.28,255,
[SW중심대학] 글로벌인턴십 MI-333 모집-기한연장(4/27월까지),20.04.14,718,
[SW중심대학] 2020-1학기 학?석사 연계 학부생 인턴 선발 안내,20.04.06,651,
[SW중심대학] 2020학년도 1학기 학부생 튜터 선발 안내(~4/7) 선발명단 확정,20.04.01,1351,
[SW중심대학] 2020년 3월 TA 복무활동보고서 제출 안내(이메일 제출  제출기간 : 4월 8일까지),20.03.31,411,
[SW중심대학] 2020-1학기 학?석사 연계 학부생 인턴 모집(수정),20.03.27,989,
[SW중심대학] 2020학년도 1학기 교육조교(TA) 선발 및 서류제출 안내(~3/18),20.03.11,665,
[SW중심대학] 2020년 2월 TA 복무활동보고서 제출 안내(이메일 제출  제출기간 : 3월 6일까지),20.02.28,338,
[SW중심대학] 2020년 1월 TA 복무활동보고서 제출 안내(제출기간 : 2월 7일까지),20.02.03,353,
(사전공지) 해외인턴십(MI-333) 7기 모집,20.01.29,762,
[SW중심대학] 제5회 주니어 창의작품 경진대회 개최 (1/22 수),20.01.20,383,
[SW중심대학] 2020 ICT 학점연계 프로젝트 글로벌인턴십 모집 공고,20.01.07,507,
[SW중심대학] 자료 구조 특강 신청기한 연장 안내 (1/3  12시까지),19.12.30,452,
[SW중심대학] 모각코 동아리 오리엔테이션 안내 (12/27 금),19.12.26,316,
[SW중심대학] 2019년 12월 TA 및 튜터 복무활동보고서 제출 안내(제출기간 : 1월 3일까지),19.12.24,403,
[SW중심대학] 자료 구조 특강 안내 (수정),19.12.23,489,
[SW중심대학] 2019 연계전공 설명회 <졸업생과의 만남의 장> 개최,19.12.17,352,
[SW중심대학] 제5회 주니어 창의작품경진대회 개최,19.12.16,698,
[SW중심대학] 동계 모각코 동아리 신청 안내,19.12.16,602,
특별장학금 선정자 발표,19.12.06,851,
SQLD 응시료 환급안내,19.12.03,637,
[SW중심대학] 충남권 동계 인턴십 잡페어 참가자 모집,19.12.02,510,
특별장학금 선정자 발표 일정 안내,19.12.02,1176,
[SW중심대학] 2019년 11월 TA 및 튜터 복무활동보고서 제출 안내(제출기간 : 12월 6일까지),19.11.27,613,
특별장학금 선정자 발표 연기 안내,19.11.22,4844,
[SW중심대학]카카오커머스 데이터 엔지니어링 이야기 특강 안내,19.11.19,611,
NHN엔터테인먼트 인턴십 선발 공고 및 설명회 안내,19.11.14,746,
특별 장학생 선발 신청기한 연장 및 추가 선발 기준 안내 (대상자:컴퓨터공학과3~4학년),19.11.13,1046,
[2019 SW인재페스티벌] 스타크래프트 스페셜 매치 인간 VS AI 참가 신청 안내,19.11.13,416,
SW중심대학사업 특별 장학생(융합연계전공학과) 선발 안내,19.11.01,627,
SW중심대학사업 특별 장학생(컴퓨터융합학부  컴퓨터공학과) 선발 안내,19.11.01,2454,
[SW중심대학] 2019년 10월 TA 및 튜터 복무활동보고서 제출 안내(제출기간 : 11월 8일까지),19.10.30,273,
[스마트팜] 취업특강(국가직무능력표준(NCS) 채용 기초 완성 2019.11.7.(목)  11.15.(금) 14:00~16:00),19.10.28,201,
[스마트팜] 2019 김제농업기계 박람회 참가 신청 (신청기한: 2019.10.29.(화)까지  참관일:2019.11.5.(화)),19.10.22,129,
[공대혁신] 교외 경진대회참가 지원 사업 안내 (지원기간: ~2019.12.20.까지 단. 예산소진시까지),19.10.11,514,
[SW중심대학] 글로벌인턴십(MI-333) 6기 모집 공고,19.10.01,627,
[SW중심대학] 2019년 9월 TA 및 튜터 복무활동보고서 제출 안내(제출기간 : 10월 8일까지),19.09.30,342,
[사전공고] 6기 MI-333 (해외인턴십) 모집 및 레쥬메 첨삭 지도,19.09.27,424,
2학기 TA 및 튜터 활동비 지급 일자 변경 안내,19.09.24,277,
[SW중심대학] UC Irvine 대학 및 실리콘밸리 단기교육 귀국보고회 개최(9/27 금),19.09.24,253,
[SW중심대학] 2019-2학기 학부생 연구실 인턴 선발 안내,19.09.23,342,
[스마트팜] SW코딩자격취득 교육생 모집 (기한: 2019.9.27.(금) 18시까지),19.09.17,285,
[SW중심대학] 2019-2학기 학부생 연구실 인턴 모집,19.09.16,759,
