2019 한국소프트웨어종합학술대회 - 컴퓨터융합학부 수상 6팀,20.06.03,73,
2020상반기 DevDay(온라인 코딩테스트) 수상자 발표 (대회일시: 2020.5.30.(토) 13:00~18:00),20.06.01,87,
[장진수교수님] 모바일 시스템 분야 국제 우수 시스템 학회 MobiSys 2020에 논문 채택,20.04.24,103,
[컴퓨터공학과 졸업생-12학번 나동희] Python - CPython 커미터 선정,20.04.13,243,
[대학원] 한국인터넷진흥원 주관 2019 개인정보비식별기술 경진대회 장려상 수상,19.12.11,215,
[대학원] 2019년도 한국연구재단 글로벌박사양성사업 선정 - 김범수(이동네트워크연구실  지도교수 김기일),19.10.31,251,
컴퓨터공학과 3학년 이용재학생 ‘서울 인공지능 챗봇톤’ 우승 및 ‘중국 4차 산업 혁명 현장탐방단’ 선정,19.10.31,426,
공과대학 주최 2019 CNU Engineering Fair 수상자 명단 (행사일: 2019.9.26.(목)),19.10.16,318,
[대학원] 모바일 컴퓨팅 분야 최우수 논문지에 논문 채택 (이제민 박사  김형신 교수 연구팀),19.09.17,293,
[대학원] 2019년도 한국연구재단 박사과정생 연구장려금지원 사업 선정-김범수(지도교수 김기일),19.09.17,156,
KCC2019 학부생/주니어논문경진대회 우수상 및 장려상 수상,19.08.12,325,
'한·핀란드 스타트업 서밋' 대학생 경연서 '주블리 팀(컴퓨터공학과 3학년 이용재)' 우승,19.06.14,390,
SKT ‘누구 플레이 개발 공모전’ 2년 연속 입상 - 한진섭  김인섭,19.05.30,432,
SKT '누구 플레이 개발 공모전' 성료… '세줄일기 감성 오디오' 최우수상,19.05.28,173,
'문송합니다'? 문과생도 소프트웨어 전문가로 키운다,19.05.28,216,
컴퓨터융합학부/컴퓨터공학과 소식지 25호 (발행 2019년4월30일),19.04.30,290,
충남대 SW중심대학사업단  글로벌인턴십 4기 파견,19.03.15,397,
[충남대학교 SW중심대학사업단] 2019 CES  최고 혁신상 수상에 기여,19.02.12,294,
세계 최대 IT.가전 전시회 ‘CES’에서 충남대 창업 빛났다,19.01.21,420,
[SW중심대학사업] 글로벌인재트랙3기-퍼듀 해외 인턴십 파견 학생들 출국 소식,19.01.02,476,
[SK 텔레콤 & 창업진흥원] 누구 플레이개발 및 아이디어 공모전 개발부문 최우수상(상금 2천만원) 수상 - 한진섭  김인섭,18.12.08,457,
제8회 창의SW축전 2018 [DevDay  창의작품경진대회  동아리연합성과발표회] 수상팀 공지,18.11.27,348,
<KSB 인공지능 프레임워크 활용 공모전> 우수상 수상 - 박사과정 문현수  석사과정 박종현  민지원  이형진 및 학사과정 김수현,18.11.20,291,
컴퓨터공학과 소식지_2018년10월호,18.10.17,344,
SW중심대학사업단  대국민 사회적 가치 실현 아이디어 공모전 최우수상 입상,18.10.01,290,
KCC2018 학부생/주니어논문경진대회 장려상 수상 - 김혁진,18.07.31,451,
최훈 교수님  2018년도 한국정보과학회 논문공헌상 수상,18.07.19,282,
KCC2018 라인X 정보과학회 블록체인 경진대회-Blockonomy팀 ( 대학원생 박준후  이서유  김근영) 우수상 수상,18.07.17,305,
IEEE/ICCE-Asia 2018 Best paper (Gold award) 수상 - 문현수  최기현  김진혁  조이성  나재성  박한울  김승태,18.07.05,402,
컴퓨터공학과 소식지 COMON_2018년 04월호,18.05.18,359,
[무한상상공간 북카페 오픈] 4층 지란지교 핀테크 무한상상 공간,18.05.16,184,
Naver D2 FEST에 결승 진출 (조상경  이상희  연계전공 김하은),18.04.06,382,
SW사업단  평창 올림픽 빛낼 SW공모전 '석권',17.12.06,910,
[수상] 제2회 소프트웨어중심대학 해커톤(전소향  김하은) 및 Google Summer of Code (나동희) 에서 수상,17.09.25,742,
[수상] ‘넥슨 아이디어 챌린’ 에서 김진욱  김현지 대상 수상,17.09.01,745,
임베디드시스템 연구실 딥러닝기술 ACM Embedded System Design Challenge에서 3등 수상,17.02.27,1263,
2016년 창의SW축전 수상팀 공지,16.12.01,838,
최훈 교수  소프트웨어 산업발전 대통령 표창,16.11.29,587,
[동아리-GROW] 2016 WCC 웨어러블컴퓨터 경진대회 특별 아이디어 수상,16.11.23,889,
2016년 11월호 컴퓨터공학과 소식지,16.11.18,490,
[동아리] 아르고스 여성해킹대회에서 1등 수상,16.11.16,758,
충남대학교 대학원 컴퓨터공학과 최성림 학생 A-SSCC 2016 Distinguished Design Award 수상,16.11.15,600,
공과대학 주최 2016 CNU Engineering Fair 시상 현황 (행사일: 2016.9.29(목)),16.10.13,720,
컴퓨터공학과 소식지 2016년 9월호 file,16.09.28,320,
GRONE팀 SoC Robotwar SoC Drone 부문 금상 수상,16.09.02,410,
GRONE팀 SoC Robotwar SoC Drone 부문 금상 수상,16.09.02,237,
충남대 SW중심대학사업단  ‘China Software Cup’ 2위 입상,16.09.02,398,
핀테크보안 연구센터 선정,16.05.30,465,
컴퓨터공학과 소식지 2016년 4월호,16.05.02,498,
컴퓨터공학과 원유재 교수님  제 49회 과학의 날  제 61회 정보통신의 날 정보통신진흥 부문 대통령 표창 수상,16.04.26,395,
남병규 교수  아시아 최초 ISSCC 디지털아키텍처 분과위원장 선임,16.03.03,519,
충남대학교 이규철교수 미래창조과학부 장관상 수상,15.12.08,834,
2015년 창의SW축전 수상팀 공지,15.11.30,860,
[수상 축하합니다] SW개발보안경진대회 최우수상-김민정 조길수 강한솔,15.10.07,1313,
TOPCIT 글로벌 - 제3회 전국 TOPCIT 경진대회 수상을 축하합니다.,15.08.19,955,
2015 한국컴퓨터종합학술대회 우수발표논문,15.08.06,1062,
2015 한국컴퓨터종합학술대회 학부생/고등학생 논문경진대회 우수논문 수상,15.08.06,847,
Who's who 인명사전 등재 졸업생 김동희(박),15.04.13,1035,
제 33회 전국 대학생 수학경시대회 동상 수상 - 임동현,15.03.09,1044,
[동아리 ARGOS] 2014년도 대학 정보보호 우수동아리 우수상 수상,14.12.03,1374,
2014 웨어러블 컴퓨터 경진대회(WCC) 아이디어공모 금상 수상,14.11.21,1238,
[동아리 ARGOS] 소프트웨어 개발보안 경진대회 우수상,14.11.12,1222,
[동아리 ARGOS] 여성해킹 대회 2위 수상,14.11.12,1370,
컴퓨터공학과 진성일 교수님 2억5천만원 상당 소프트웨어 기증,14.11.07,1136,
[제9회]금융정보보호 공모전-논문부문 최우수상(김동우(박사과정)),14.09.30,1181,
Engineering Fair 2014 캡스톤디자인/졸업작품 경진대회 수상,14.09.29,1053,
컴공 Probrain  삼성 프렌드십 3기 선정,14.07.01,1906,
컴퓨터공학과 소식지 2014년 03월호,14.03.24,2035,
컴퓨터공학과 소식지 2013년도,14.03.24,1522,
2013 충남대학교 우수교원 표창 수상 - 남병규 교수님,14.01.07,1618,
2013 올해의 학생상 - 총장상 수상,13.12.09,1625,
대덕넷 - 2013년 데브데이 경진대회 기사,13.11.26,1260,
‘2013 슈퍼앱 코리아’ 대회 - MOTION 우수상 수상,13.11.21,1223,
2013 웨어러블컴퓨터 경진대회 - GROW 대상 수상,13.11.11,1208,
2013 로봇융합페스티벌 - GROW 대상 수상,13.08.12,1271,
대학생-특구기업 네트워크 구축 지원사업 혁신아이디어 공모전 - 개인.단체 우수상 수상,13.03.26,1285,
제11회 Microsoft ImagineCup cj오쇼핑 인재상 수상(프로브레인),13.03.26,1401,
컴퓨터공학과 GROW팀 웨어러블 컴퓨터 경진대회 아이디어 공모전 대상 수상,12.11.24,1475,
컴퓨터공학과 GROW팀  지능형로봇대회 1위,12.11.14,1407,
컴퓨터공학과 GROW팀 ‘지식경제부 장관상’ 수상,12.11.06,1203,
과학기술동아리지원사업  프로브레인  MOTH 선정,12.08.21,1151,
프로브레인  MS 이매진컵 인재상 수상,12.08.21,1182,
컴퓨터공학과  "Wearable Computer(입는 컴퓨터) 대회" 대상,12.08.16,1178,
컴퓨터공학과  정보보호 구축전략 컨퍼런스 입상,12.08.16,1019,
컴퓨터공학과  정보보호 구축전략 컨퍼런스 두각,12.08.16,742,
